id_compra,id_cliente_unico,cidade,estado,id_produto,forma_pagamento,quantidade,nome_produto,preco,categoria,preco_total,data_compra
0017afd5076e074a48f1f1a4c7bac9c5,98758d88bf4b8eef1372ddee45d63178,Campo Alegre,AL,fe59a1e006df3ac42bf0ceb876d70969,credit_card,1,Adaptador DisplayPort para HDMI,39.90,Cabos e Adaptadores,39.90,2024-04-06
001b76dd48a5b1eee3e87778daa40df8,b32ff8caad5902c55fa167e7dc77cc69,Santa Salete,SP,dbb67791e405873b259e4656bf971246,credit_card,1,Cooler com Base de Cobre,99.90,Coolers e Refrigeração,99.90,2025-03-26
001e7ba991be1b19605ca0316e7130f9,100bf2da12cc1fd1b556507aa87bf3a1,Campo Grande,MS,884fa3cd42986ba480ea2f8ae4e25ff7,credit_card,1,Suporte para Water Cooler,39.90,Coolers e Refrigeração,39.90,2024-03-18
00259a44fcad3fc0474329e925d14fc3,8a04e75a04c11b76156ef03b8ea45a18,Belo Horizonte,MG,0c4d0a08f95c7b7dc5dc7402bfdafd4c,credit_card,1,Placa-Mãe ATX Intel,699.90,Placa-Mãe,699.90,2024-12-27
002611a77fe03d076285fd4ca95db77c,c01bed915357c68393943dd8b7a51655,Brasilia,DF,fe077ec80df6b4ee60bb4498d5ab1962,boleto,1,Cabo HDMI 2.1,69.90,Cabos e Adaptadores,69.90,2025-02-27
003f201cdd39cdd59b6447cff2195456,770c43f54c33cbf4bc49b7f2d6576891,Rio De Janeiro,RJ,656e0eca68dcecf6a31b8ececfabe3e8,credit_card,2,Cabo Óptico Toslink,39.90,Cabos e Adaptadores,79.80,2025-02-21
0040a56893444cb56cba7cfe2225e34e,89f85ff8f63aa9404d98a83cf96cd4e4,Salvador,BA,3f14d740544f37ece8a9e7bc8349797e,credit_card,1,Monitor com Tecnologia OLED,4999.90,Monitor,4999.90,2025-01-22
0055b77cca3186676c147f532dd2547b,ec462378011c63f79ec53a2365d8e71b,Rio De Janeiro,RJ,d1c427060a0f73f6b889a5c7c61f2ac4,credit_card,1,Headset 7.1 Surround,259.90,Headset e Áudio,259.90,2025-02-19
005b49de51a4e006055e8487a50ad8e4,8797820f6554668a5b835ff74cd077df,Bage,RS,381169576b9f3c083a1c3261da161a3b,credit_card,1,Espaçador para Ventoinha,15.90,Coolers e Refrigeração,15.90,2024-04-09
005e5166e99d1e4d0c4f808b0540ba94,7e198addd609b9169441891b3f0df2b1,Itajai,SC,03bb24d19ea7449ce170e0888d830707,boleto,1,Gabinete Gamer com Design Futurista,529.90,Gabinete,529.90,2025-02-21
